age,income,education_level,job_level,city,approved
36,40143,bachelor,junior,Munich,yes
46,23491,high_school,senior,London,no
42,13984,bachelor,mid,Geneva,yes
31,42053,high_school,senior,Berlin,yes
57,47318,high_school,entry,Geneva,no
28,47900,bachelor,mid,Geneva,yes
21,48507,bachelor,senior,Vienna,yes
50,11011,high_school,entry,Munich,no
44,19584,high_school,entry,Geneva,no
55,69602,master,entry,Geneva,yes
38,24291,high_school,lead,Munich,yes
20,49162,bachelor,mid,London,yes
20,29695,bachelor,mid,Munich,no
37,41195,high_school,mid,London,yes
29,30501,bachelor,mid,Munich,yes
56,48423,master,junior,Cambridge,yes
24,42051,master,junior,Geneva,yes
55,33275,high_school,mid,Berlin,yes
28,24247,high_school,entry,Berlin,no
24,44016,high_school,senior,London,yes
30,21809,bachelor,senior,Cambridge,yes
25,46412,bachelor,junior,Munich,no
36,79397,high_school,mid,Vienna,yes
33,60252,high_school,entry,Vienna,no
41,50775,master,lead,Berlin,yes
41,38715,high_school,senior,Geneva,yes
20,10918,bachelor,senior,London,no
24,20165,bachelor,junior,Cambridge,no
26,59241,high_school,entry,Cambridge,yes
27,28153,high_school,entry,Berlin,no
23,29511,high_school,entry,Munich,yes
32,37515,master,entry,Geneva,no
41,24069,high_school,entry,Berlin,no
32,21598,high_school,lead,Vienna,yes
33,39242,high_school,entry,Berlin,yes
38,26627,high_school,entry,Berlin,no
41,28884,bachelor,senior,Berlin,yes
33,28282,high_school,mid,Munich,yes
28,47835,bachelor,senior,London,yes
36,36518,bachelor,mid,Munich,yes
20,37321,master,senior,Cambridge,yes
39,48954,high_school,mid,Munich,no
57,37869,master,mid,Berlin,yes
35,35826,bachelor,mid,Geneva,yes
24,47056,high_school,junior,London,yes
48,50022,master,junior,Berlin,yes
25,37793,master,junior,Berlin,no
27,41209,high_school,entry,Cambridge,no
25,28273,master,senior,Vienna,yes
55,27089,bachelor,junior,Geneva,no
59,51537,bachelor,entry,London,yes
42,46674,phd,entry,Cambridge,yes
44,46829,bachelor,senior,Geneva,yes
45,44212,master,junior,Vienna,yes
44,40693,high_school,mid,Berlin,yes
41,50446,master,senior,Munich,no
59,54026,bachelor,entry,Vienna,yes
49,53668,high_school,senior,Munich,yes
23,38488,bachelor,junior,Cambridge,yes
35,60804,high_school,entry,Cambridge,no
58,43426,high_school,mid,Munich,no
36,49485,high_school,senior,Geneva,yes
28,44231,high_school,junior,Munich,no
54,43705,high_school,mid,Vienna,yes
44,28963,high_school,junior,Berlin,no
42,50520,bachelor,mid,Geneva,no
36,82679,bachelor,mid,Vienna,yes
24,34378,bachelor,mid,Vienna,yes
35,41064,high_school,mid,Vienna,yes
37,33306,master,entry,Munich,yes
57,32679,bachelor,mid,London,no
32,63166,high_school,mid,London,no
25,29905,high_school,mid,London,no
37,32888,bachelor,entry,Geneva,yes
59,16187,high_school,junior,Cambridge,no
39,28635,bachelor,junior,Geneva,no
35,14374,phd,entry,London,yes
46,49477,high_school,entry,Munich,no
45,81995,high_school,junior,Munich,yes
31,34499,phd,mid,Vienna,yes
58,14998,bachelor,entry,Vienna,yes
43,53499,high_school,senior,London,yes
22,29096,master,mid,Munich,no
36,59490,master,senior,Cambridge,yes
56,35769,bachelor,junior,Munich,yes
35,30522,bachelor,junior,Vienna,yes
42,37330,high_school,mid,Cambridge,yes
44,51366,high_school,senior,Vienna,yes
48,36588,bachelor,junior,London,yes
54,32549,high_school,mid,Cambridge,no
25,37017,bachelor,mid,Cambridge,yes
40,20922,master,mid,Geneva,no
41,45955,high_school,entry,Geneva,yes
26,13199,bachelor,mid,Munich,no
46,33338,high_school,junior,Vienna,no
24,51390,master,senior,Cambridge,yes
38,44545,high_school,junior,Geneva,yes
33,48854,bachelor,junior,Geneva,no
26,39024,bachelor,lead,Berlin,yes
52,57546,bachelor,junior,Geneva,no
29,53870,bachelor,entry,Munich,yes
30,46692,bachelor,entry,Cambridge,yes
54,53913,bachelor,entry,Vienna,no
55,51256,master,entry,Berlin,no
21,33408,phd,junior,Berlin,yes
31,19841,bachelor,senior,Cambridge,no
48,46305,bachelor,mid,Cambridge,yes
51,48191,high_school,entry,London,yes
59,56357,master,mid,Berlin,yes
42,25955,bachelor,entry,Berlin,yes
20,26403,bachelor,senior,Munich,yes
54,46898,high_school,entry,London,no
26,38932,master,mid,London,yes
24,11713,bachelor,junior,Cambridge,yes
46,45626,bachelor,mid,Berlin,no
44,12213,high_school,junior,Berlin,no
22,25821,phd,senior,Cambridge,yes
26,60275,high_school,entry,Cambridge,no
43,67373,high_school,senior,London,yes
30,21765,master,mid,Berlin,yes
47,35059,master,senior,Berlin,yes
36,40639,high_school,senior,Berlin,yes
43,66718,bachelor,lead,London,yes
38,32606,bachelor,entry,Cambridge,no
34,32846,master,junior,Vienna,yes
33,63230,bachelor,junior,Munich,yes
47,34378,bachelor,junior,London,no
40,50833,bachelor,mid,Berlin,no
43,17842,bachelor,lead,London,yes
43,37431,master,lead,Cambridge,yes
28,15106,bachelor,mid,London,yes
56,24168,high_school,mid,Cambridge,no
42,52588,master,senior,Vienna,yes
48,39251,master,senior,Geneva,yes
55,35213,master,entry,Munich,yes
56,28768,high_school,mid,Cambridge,yes
46,36690,high_school,senior,London,no
51,44516,bachelor,junior,Munich,yes
38,54743,high_school,junior,Cambridge,yes
49,8000,phd,lead,Berlin,yes
32,27523,bachelor,lead,Vienna,no
48,42386,bachelor,senior,Munich,no
23,38517,master,senior,Vienna,yes
56,46050,bachelor,junior,Geneva,yes
29,44013,high_school,junior,Geneva,yes
46,35426,bachelor,mid,London,no
20,32097,bachelor,mid,London,no
26,36317,bachelor,mid,Geneva,yes
59,57231,bachelor,mid,Cambridge,no
53,29019,master,junior,Geneva,yes
28,39057,bachelor,mid,Berlin,no
25,42750,high_school,junior,Berlin,yes
52,63405,bachelor,junior,Munich,yes
59,35495,bachelor,entry,London,no
26,54382,high_school,entry,Vienna,yes
46,58479,high_school,senior,Geneva,no
31,39043,bachelor,junior,Geneva,yes
49,36839,high_school,entry,Cambridge,no
36,35064,phd,senior,Vienna,yes
25,36162,high_school,mid,Berlin,no
32,52813,high_school,entry,Berlin,no
41,43465,master,junior,Geneva,yes
51,43529,master,entry,Geneva,yes
20,23121,high_school,mid,Cambridge,yes
58,25487,high_school,junior,Vienna,yes
45,72151,high_school,entry,London,no
55,37332,bachelor,entry,Vienna,no
57,28378,bachelor,mid,Geneva,yes
26,61466,high_school,entry,Vienna,yes
23,44227,high_school,senior,Vienna,yes
51,48672,bachelor,entry,London,no
27,37929,phd,mid,Munich,yes
25,35219,bachelor,junior,Vienna,no
38,37456,bachelor,junior,Munich,no
56,19258,high_school,entry,London,no
51,38681,high_school,senior,London,yes
40,44440,high_school,senior,Vienna,yes
27,67756,master,entry,Cambridge,yes
33,41289,master,entry,Vienna,yes
47,8000,master,senior,Berlin,no
26,38590,phd,mid,Vienna,yes
40,81092,phd,entry,London,yes
20,52995,phd,entry,Berlin,no
33,27836,high_school,mid,Berlin,yes
29,48866,high_school,mid,Munich,no
47,28869,high_school,mid,Cambridge,no
56,19692,bachelor,lead,Vienna,yes
25,34774,high_school,junior,Cambridge,no
51,41372,master,junior,Cambridge,yes
46,11917,bachelor,junior,Vienna,no
58,22762,bachelor,junior,London,no
56,40155,high_school,entry,Munich,no
24,33877,high_school,entry,Berlin,yes
49,45922,high_school,junior,Geneva,no
43,21779,master,mid,Vienna,yes
24,50711,bachelor,entry,Munich,no
30,22243,bachelor,junior,Munich,yes
57,64641,high_school,mid,Berlin,yes
41,14263,bachelor,mid,London,no
33,23611,bachelor,senior,Cambridge,yes
32,46260,master,senior,London,yes
53,64963,master,mid,Geneva,yes
31,44725,high_school,entry,Vienna,yes
26,48442,master,junior,Cambridge,yes
42,40263,high_school,mid,Vienna,yes
59,24604,master,entry,Munich,yes
27,32647,high_school,entry,Geneva,yes
30,21821,high_school,entry,London,yes
38,20819,master,junior,Geneva,yes
27,46026,high_school,junior,Cambridge,yes
46,23152,bachelor,entry,Cambridge,yes
30,44793,bachelor,senior,Berlin,yes
25,20472,high_school,senior,London,no
30,44445,bachelor,entry,Geneva,yes
57,32669,master,senior,Vienna,yes
57,61099,master,entry,Munich,no
40,44855,high_school,senior,Geneva,yes
36,58536,bachelor,lead,Munich,yes
52,28665,high_school,entry,Berlin,no
27,40842,high_school,senior,London,yes
46,25283,high_school,lead,Berlin,no
47,33795,master,senior,Geneva,no
48,36068,master,lead,Munich,yes
28,29112,master,mid,Berlin,yes
48,21767,bachelor,entry,Geneva,yes
44,18797,bachelor,senior,Cambridge,yes
55,8000,bachelor,mid,Cambridge,yes
26,24154,bachelor,mid,Geneva,yes
44,49412,bachelor,junior,Vienna,no
53,16022,high_school,mid,Cambridge,yes
31,19478,high_school,entry,Munich,no
49,66863,phd,mid,Cambridge,yes
23,30452,bachelor,entry,Berlin,yes
48,44815,phd,mid,Munich,yes
44,49634,high_school,senior,Geneva,no
27,49937,bachelor,junior,Berlin,yes
22,17165,high_school,mid,London,no
49,36534,high_school,junior,Cambridge,yes
29,15726,high_school,lead,Geneva,yes
39,76694,high_school,mid,Cambridge,yes
22,16076,master,junior,London,yes
58,24282,high_school,entry,London,no
41,24390,bachelor,entry,London,yes
57,17550,bachelor,junior,Vienna,no
26,60288,bachelor,senior,Berlin,yes
28,76336,bachelor,mid,Cambridge,yes
44,32863,high_school,entry,Vienna,yes
44,20193,phd,senior,Cambridge,yes
51,8000,master,junior,Cambridge,no
57,36338,bachelor,senior,Munich,yes
52,35254,bachelor,entry,Geneva,no
25,30230,high_school,mid,Munich,yes
32,43320,master,senior,Berlin,yes
56,45927,high_school,junior,Cambridge,no
41,44846,high_school,mid,Cambridge,yes
54,35258,high_school,lead,Cambridge,no
42,23475,master,entry,Cambridge,yes
21,49987,bachelor,entry,Vienna,yes
38,40187,master,mid,Vienna,yes
52,53325,master,junior,Cambridge,yes
46,51851,high_school,entry,Vienna,no
25,18673,master,junior,Vienna,yes
28,18486,bachelor,senior,Munich,no
54,28666,bachelor,junior,London,no
59,24156,high_school,junior,London,no
50,51328,phd,senior,London,yes
23,45269,high_school,mid,Geneva,no
