age,country,device_type,payment_method,purchase_complete
48,Germany,mobile,wallet,yes
59,Australia,mobile,ibanking,yes
61,Australia,mobile,cash,yes
25,Germany,mobile,ibanking,no
22,Germany,desktop,ibanking,no
54,Australia,mobile,ibanking,no
26,UK,desktop,card,yes
24,USA,mobile,ibanking,no
40,Australia,mobile,cash,no
60,Germany,mobile,wallet,no
55,Germany,desktop,wallet,yes
42,Germany,desktop,ibanking,no
27,USA,mobile,wallet,no
33,UK,mobile,ibanking,no
50,UK,tablet,card,no
25,UK,mobile,ibanking,yes
42,UK,mobile,wallet,yes
18,UK,mobile,card,yes
33,Germany,desktop,card,yes
29,Germany,desktop,cash,no
50,Germany,mobile,wallet,no
60,Australia,tablet,ibanking,yes
24,Germany,mobile,wallet,yes
55,USA,mobile,wallet,no
48,USA,mobile,ibanking,yes
63,Australia,mobile,ibanking,no
60,Germany,mobile,cash,yes
22,Germany,mobile,card,yes
52,Germany,mobile,cash,no
45,UK,desktop,ibanking,no
23,Australia,mobile,card,yes
30,USA,mobile,card,no
61,Germany,desktop,card,yes
43,Australia,desktop,ibanking,no
33,Australia,desktop,wallet,no
33,USA,desktop,wallet,yes
57,USA,desktop,cash,no
31,Germany,mobile,ibanking,yes
25,UK,mobile,wallet,yes
44,Germany,desktop,ibanking,no
64,UK,mobile,cash,no
26,Germany,mobile,cash,yes
30,Germany,mobile,ibanking,yes
40,USA,mobile,cash,no
27,Germany,mobile,wallet,yes
48,Australia,mobile,wallet,no
29,Australia,desktop,card,yes
24,Germany,tablet,ibanking,no
30,USA,mobile,cash,yes
61,UK,tablet,ibanking,yes
61,UK,mobile,cash,no
41,Germany,tablet,cash,yes
36,Australia,tablet,cash,no
56,Germany,mobile,card,no
27,Germany,desktop,wallet,no
48,Germany,tablet,card,no
49,UK,tablet,cash,yes
51,UK,tablet,card,no
28,USA,mobile,card,no
51,Australia,mobile,cash,no
46,Australia,desktop,wallet,yes
59,Australia,desktop,wallet,yes
26,Australia,desktop,cash,yes
46,Australia,mobile,ibanking,yes
56,Germany,mobile,wallet,no
31,Germany,mobile,card,yes
52,UK,desktop,wallet,yes
22,Australia,mobile,card,no
51,UK,desktop,card,no
46,Germany,desktop,cash,yes
27,Australia,mobile,card,no
21,Germany,mobile,wallet,yes
53,Germany,mobile,wallet,no
29,Germany,tablet,cash,no
41,Germany,desktop,wallet,yes
20,UK,mobile,wallet,yes
63,Germany,mobile,wallet,yes
43,USA,mobile,wallet,yes
61,Australia,mobile,ibanking,yes
25,Australia,tablet,card,yes
27,Australia,desktop,wallet,no
46,Germany,mobile,ibanking,no
46,UK,desktop,wallet,yes
55,USA,mobile,wallet,yes
61,USA,desktop,card,no
56,Australia,mobile,cash,yes
24,Germany,desktop,card,yes
32,UK,tablet,card,yes
60,Germany,mobile,wallet,yes
43,Germany,desktop,wallet,yes
58,Germany,tablet,wallet,no
44,USA,mobile,wallet,no
20,USA,mobile,ibanking,yes
40,USA,desktop,ibanking,yes
56,USA,mobile,wallet,yes
48,Germany,mobile,ibanking,yes
24,UK,mobile,ibanking,yes
27,Australia,desktop,card,yes
58,USA,mobile,ibanking,yes
64,Germany,mobile,wallet,yes
53,UK,desktop,ibanking,yes
22,Germany,mobile,cash,yes
